2017/02/06 12:43:32_391 --------------- getRoot -----------------
2017/02/06 12:43:32_391 getRoot found root/boot [/dev/mapper/ubuntu--vg-root / ext4 rw,relatime,errors=remount-ro,data=ordered 0 0
]
2017/02/06 12:43:32_392 getRoot found root/boot [/dev/sda1 /boot ext2 rw,relatime,block_validity,barrier,user_xattr,acl,stripe=4 0 0
]
2017/02/06 12:43:32_392 getRoot found SCSI root/boot: pDevice: /dev/sda
2017/02/06 12:43:32_392 ------- Scan Dev Files -------
2017/02/06 12:43:32_392 scanDevFiles: /dev/dm-9: major: 252 minor: 9
2017/02/06 12:43:32_392 scanDevFiles: /dev/dm-8: major: 252 minor: 8
2017/02/06 12:43:32_392 scanDevFiles: /dev/dm-7: major: 252 minor: 7
2017/02/06 12:43:32_392 scanDevFiles: /dev/dm-6: major: 252 minor: 6
2017/02/06 12:43:32_392 scanDevFiles: /dev/dm-5: major: 252 minor: 5
2017/02/06 12:43:32_392 scanDevFiles: /dev/dm-4: major: 252 minor: 4
2017/02/06 12:43:32_392 scanDevFiles: /dev/kvm: major: 10 minor: 232
2017/02/06 12:43:32_392 scanDevFiles: /dev/mei0: major: 245 minor: 0
2017/02/06 12:43:32_392 scanDevFiles: /dev/uhid: major: 10 minor: 239
2017/02/06 12:43:32_392 scanDevFiles: /dev/vhci: major: 10 minor: 137
2017/02/06 12:43:32_393 scanDevFiles: /dev/cuse: major: 10 minor: 203
2017/02/06 12:43:32_393 scanDevFiles: /dev/dm-3: major: 252 minor: 3
2017/02/06 12:43:32_393 scanDevFiles: /dev/dm-2: major: 252 minor: 2
2017/02/06 12:43:32_393 scanDevFiles: /dev/dm-1: major: 252 minor: 1
2017/02/06 12:43:32_393 scanDevFiles: /dev/dm-0: major: 252 minor: 0
2017/02/06 12:43:32_393 scanDevFiles: /dev/sg0: major: 21 minor: 0
2017/02/06 12:43:32_393 scanDevFiles: /dev/fb0: major: 29 minor: 0
2017/02/06 12:43:32_393 scanDevFiles: /dev/rtc: major: 251 minor: 0
2017/02/06 12:43:32_393 scanDevFiles: /dev/rtc0: major: 251 minor: 0
2017/02/06 12:43:32_393 scanDevFiles: /dev/ppp: major: 108 minor: 0
2017/02/06 12:43:32_393 scanDevFiles: /dev/hpet: major: 10 minor: 228
2017/02/06 12:43:32_393 scanDevFiles: /dev/ptmx: major: 5 minor: 2
2017/02/06 12:43:32_393 scanDevFiles: /dev/fuse: major: 10 minor: 229
2017/02/06 12:43:32_393 scanDevFiles: /dev/kmsg: major: 1 minor: 11
2017/02/06 12:43:32_393 scanDevFiles: /dev/full: major: 1 minor: 7
2017/02/06 12:43:32_393 scanDevFiles: /dev/zero: major: 1 minor: 5
2017/02/06 12:43:32_393 scanDevFiles: /dev/port: major: 1 minor: 4
2017/02/06 12:43:32_393 scanDevFiles: /dev/null: major: 1 minor: 3
2017/02/06 12:43:32_394 scanDevFiles: /dev/mem: major: 1 minor: 1
2017/02/06 12:43:32_394 ------- Scan Dev Files Done ------- Found 0 devices
2017/02/06 12:43:32_394 ------------- done adding devices ---------- 0
2017/02/06 12:43:32_394 ----------- FindDrives all done! ------------
